	2019	2020
Чернівецька область	102.9043429844098	77.70677804800677
Одеська область	109.23098642047238	95.64117647058823
Вінницька область	112.60433778234086	94.90162872478253
Волинська область	117.81845949535193	92.86046121593292
Житомирська область	112.88547248447733	94.94095778701632
Львівська область	119.0937854877237	102.35352695562207
Луганська область	109.75368908716541	93.15315018917585
Черкаська область	125.4679635124739	98.20871968616262
Полтавська область	116.54931836407378	96.96218551655579
м.Київ	128.18369644394411	116.2949979942605
Закарпатська область	94.10379890994875	70.68902911117993
Харківська область	120.71052023655517	104.08409263477601
Івано-Франківська область	111.90609324284449	88.97122545700745
Чернігівська область	120.37941211191122	101.66585608489002
Київська область	119.09233552388687	103.81651555671515
Кіровоградська область	112.3376526289559	86.63258913315867
Тернопільська область	111.63923989582328	90.30965222242887
Херсонська область	109.90404866578059	88.47614168618267
Рівненська область	108.4093615354485	86.12838765628388
Миколаївська область	107.16434366548783	89.01153809018055
Хмельницька область	113.42754058929646	97.68230259293446
Сумська область	113.8482429826441	97.18207797509696
Донецька область	108.51890978937608	90.2384354789036
Запорізька область	112.77400338718083	91.73150138163955
Дніпропетровська область	112.08903735092096	92.46651273835329
